cluster	cluster_id	num_samples	representative	feature	feature_alt	gene	gene_alt	product	product_alt	name	name_alt	dbxref	dbxref_alt	6952-4-17	6952-4-19	6999-1-11	6999-1-3	6999-5-12	6999-5-5	6999-7-20	7001-3-2	7553-4-28	7622-3-93	7622-4-37	7622-4-48	7622-5-52	7622-5-56	7622-5-93
Cluster_1029	Cluster_1029	15	6999-1-3_MFDHOJ_03285__6999-1-3_MFDHOJ_03290	unannotated										6952-4-17_LCDOPK_04360__6952-4-17_LCDOPK_04365	6952-4-19_IDAKCO_07135__6952-4-19_IDAKCO_07140	6999-1-11_GAMHDO_04505__6999-1-11_GAMHDO_04510	6999-1-3_MFDHOJ_03285__6999-1-3_MFDHOJ_03290	6999-5-12_GABGCO_03240__6999-5-12_GABGCO_03245	6999-5-5_IEJANN_03885__6999-5-5_IEJANN_03890	6999-7-20_BDNIPI_10895__6999-7-20_BDNIPI_10900	7001-3-2_ILCIHP_01890__7001-3-2_ILCIHP_01895	7553-4-28_BBELPC_00830__7553-4-28_BBELPC_00835	7622-3-93_BNKJJA_07975__7622-3-93_BNKJJA_07980	7622-4-37_HCELOA_02690__7622-4-37_HCELOA_02695	7622-4-48_OIGNLO_10590__7622-4-48_OIGNLO_10595	7622-5-52_DJJKEI_04340__7622-5-52_DJJKEI_04345	7622-5-56_HCMIMP_01270__7622-5-56_HCMIMP_01275	7622-5-93_FBDJDO_01895__7622-5-93_FBDJDO_01900
ceuD	Cluster_1030	15	6999-1-3_MFDHOJ_03290	CDS		ceuD		ABC-type enterochelin transport system, ATPase component		ABC-type enterochelin transport system, ATPase component		COG:COG4604,COG:P,RefSeq:WP_000764306.1,SO:0001217,UniParc:UPI000152C300,UniRef:UniRef100_A0A0B7L1M8,UniRef:UniRef50_A0A064BYR3,UniRef:UniRef90_A0A064BYR3	COG:COG4604,COG:P,RefSeq:WP_000764303.1,SO:0001217,UniParc:UPI0000051A0D,UniRef:UniRef100_A0A064BYR3,UniRef:UniRef50_A0A064BYR3,UniRef:UniRef90_A0A064BYR3;COG:COG4604,COG:P,RefSeq:WP_044811513.1,SO:0001217,UniParc:UPI000598B3EA,UniRef:UniRef100_A0A9X8HVT7,UniRef:UniRef50_A0A064BYR3,UniRef:UniRef90_A0A064BYR3	6952-4-17_LCDOPK_04365	6952-4-19_IDAKCO_07135	6999-1-11_GAMHDO_04510	6999-1-3_MFDHOJ_03290	6999-5-12_GABGCO_03240	6999-5-5_IEJANN_03890	6999-7-20_BDNIPI_10900	7001-3-2_ILCIHP_01890	7553-4-28_BBELPC_00835	7622-3-93_BNKJJA_07980	7622-4-37_HCELOA_02695	7622-4-48_OIGNLO_10595	7622-5-52_DJJKEI_04340	7622-5-56_HCMIMP_01275	7622-5-93_FBDJDO_01900
Cluster_1031	Cluster_1031	15	6999-1-3_MFDHOJ_03300__6999-1-3_MFDHOJ_03305	unannotated										6952-4-17_LCDOPK_04375__6952-4-17_LCDOPK_04380	6952-4-19_IDAKCO_07115__6952-4-19_IDAKCO_07120	6999-1-11_GAMHDO_04520__6999-1-11_GAMHDO_04525	6999-1-3_MFDHOJ_03300__6999-1-3_MFDHOJ_03305	6999-5-12_GABGCO_03225__6999-5-12_GABGCO_03230	6999-5-5_IEJANN_03900__6999-5-5_IEJANN_03905	6999-7-20_BDNIPI_10910__6999-7-20_BDNIPI_10915	7001-3-2_ILCIHP_01875__7001-3-2_ILCIHP_01880	7553-4-28_BBELPC_00845__7553-4-28_BBELPC_00850	7622-3-93_BNKJJA_07990__7622-3-93_BNKJJA_07995	7622-4-37_HCELOA_02705__7622-4-37_HCELOA_02710	7622-4-48_OIGNLO_10605__7622-4-48_OIGNLO_10610	7622-5-52_DJJKEI_04325__7622-5-52_DJJKEI_04330	7622-5-56_HCMIMP_01285__7622-5-56_HCMIMP_01290	7622-5-93_FBDJDO_01910__7622-5-93_FBDJDO_01915
Cluster_1032	Cluster_1032	12	6999-1-3_MFDHOJ_03380__6999-1-3_MFDHOJ_03385	unannotated										6952-4-17_LCDOPK_04455__6952-4-17_LCDOPK_04460	6952-4-19_IDAKCO_07035__6952-4-19_IDAKCO_07040	6999-1-11_GAMHDO_04600__6999-1-11_GAMHDO_04605	6999-1-3_MFDHOJ_03380__6999-1-3_MFDHOJ_03385	6999-5-12_GABGCO_03145__6999-5-12_GABGCO_03150	6999-5-5_IEJANN_03980__6999-5-5_IEJANN_03985				7622-3-93_BNKJJA_03470__7622-3-93_BNKJJA_03475	7622-4-37_HCELOA_02785__7622-4-37_HCELOA_02790	7622-4-48_OIGNLO_07790__7622-4-48_OIGNLO_07795	7622-5-52_DJJKEI_04245__7622-5-52_DJJKEI_04250	7622-5-56_HCMIMP_01365__7622-5-56_HCMIMP_01370	7622-5-93_FBDJDO_01990__7622-5-93_FBDJDO_01995
dpnM	Cluster_1033	12	6999-1-3_MFDHOJ_03385	CDS		dpnM		Type II methyltransferase M1-DpnII		Type II methyltransferase M1-DpnII		EC:2.1.1.72,GO:0003677,GO:0009007,GO:0009307,RefSeq:WP_000692845.1,SO:0001217,UniParc:UPI0000111082,UniRef:UniRef100_P04043,UniRef:UniRef50_P04043,UniRef:UniRef90_P04043		6952-4-17_LCDOPK_04460	6952-4-19_IDAKCO_07035	6999-1-11_GAMHDO_04605	6999-1-3_MFDHOJ_03385	6999-5-12_GABGCO_03145	6999-5-5_IEJANN_03985				7622-3-93_BNKJJA_03470	7622-4-37_HCELOA_02790	7622-4-48_OIGNLO_07790	7622-5-52_DJJKEI_04245	7622-5-56_HCMIMP_01370	7622-5-93_FBDJDO_01995
Cluster_1034	Cluster_1034	12	6999-1-3_MFDHOJ_03385__6999-1-3_MFDHOJ_03390	unannotated										6952-4-17_LCDOPK_04460__6952-4-17_LCDOPK_04465	6952-4-19_IDAKCO_07030__6952-4-19_IDAKCO_07035	6999-1-11_GAMHDO_04605__6999-1-11_GAMHDO_04610	6999-1-3_MFDHOJ_03385__6999-1-3_MFDHOJ_03390	6999-5-12_GABGCO_03140__6999-5-12_GABGCO_03145	6999-5-5_IEJANN_03985__6999-5-5_IEJANN_03990				7622-3-93_BNKJJA_03465__7622-3-93_BNKJJA_03470	7622-4-37_HCELOA_02790__7622-4-37_HCELOA_02795	7622-4-48_OIGNLO_07785__7622-4-48_OIGNLO_07790	7622-5-52_DJJKEI_04240__7622-5-52_DJJKEI_04245	7622-5-56_HCMIMP_01370__7622-5-56_HCMIMP_01375	7622-5-93_FBDJDO_01995__7622-5-93_FBDJDO_02000
dpnA	Cluster_1035	12	6999-1-3_MFDHOJ_03390	CDS		dpnA		Type II methyltransferase M2-DpnII		Type II methyltransferase M2-DpnII		EC:2.1.1.72,GO:0003677,GO:0008170,GO:0009007,GO:0009307,RefSeq:WP_001810592.1,SO:0001217,UniParc:UPI0000175306,UniRef:UniRef100_P09358,UniRef:UniRef50_P09358,UniRef:UniRef90_P09358		6952-4-17_LCDOPK_04465	6952-4-19_IDAKCO_07030	6999-1-11_GAMHDO_04610	6999-1-3_MFDHOJ_03390	6999-5-12_GABGCO_03140	6999-5-5_IEJANN_03990				7622-3-93_BNKJJA_03465	7622-4-37_HCELOA_02795	7622-4-48_OIGNLO_07785	7622-5-52_DJJKEI_04240	7622-5-56_HCMIMP_01375	7622-5-93_FBDJDO_02000
dpnB	Cluster_1036	12	6999-1-3_MFDHOJ_03395	CDS		dpnB		Type II restriction enzyme DpnII		Type II restriction enzyme DpnII		EC:3.1.21.4,GO:0003677,GO:0009036,GO:0009307,RefSeq:WP_000815111.1,SO:0001217,UniParc:UPI00001367E0,UniRef:UniRef100_P09357,UniRef:UniRef50_P09357,UniRef:UniRef90_P09357		6952-4-17_LCDOPK_04470	6952-4-19_IDAKCO_07025	6999-1-11_GAMHDO_04615	6999-1-3_MFDHOJ_03395	6999-5-12_GABGCO_03135	6999-5-5_IEJANN_03995				7622-3-93_BNKJJA_03460	7622-4-37_HCELOA_02800	7622-4-48_OIGNLO_07780	7622-5-52_DJJKEI_04235	7622-5-56_HCMIMP_01380	7622-5-93_FBDJDO_02005
Cluster_1037	Cluster_1037	13	6999-1-3_MFDHOJ_03395__6999-1-3_MFDHOJ_03400	unannotated										6952-4-17_LCDOPK_04470__6952-4-17_LCDOPK_04475	6952-4-19_IDAKCO_07020__6952-4-19_IDAKCO_07025	6999-1-11_GAMHDO_04615__6999-1-11_GAMHDO_04620	6999-1-3_MFDHOJ_03395__6999-1-3_MFDHOJ_03400	6999-5-12_GABGCO_03130__6999-5-12_GABGCO_03135	6999-5-5_IEJANN_03995__6999-5-5_IEJANN_04000			7553-4-28_BBELPC_00945__7553-4-28_BBELPC_00950	7622-3-93_BNKJJA_03455__7622-3-93_BNKJJA_03460	7622-4-37_HCELOA_02800__7622-4-37_HCELOA_02805	7622-4-48_OIGNLO_07775__7622-4-48_OIGNLO_07780	7622-5-52_DJJKEI_04230__7622-5-52_DJJKEI_04235	7622-5-56_HCMIMP_01380__7622-5-56_HCMIMP_01385	7622-5-93_FBDJDO_02005__7622-5-93_FBDJDO_02010
Cluster_1038	Cluster_1038	13	6999-1-3_MFDHOJ_03435__6999-1-3_MFDHOJ_03440	unannotated										6952-4-17_LCDOPK_04510__6952-4-17_LCDOPK_04515	6952-4-19_IDAKCO_06980__6952-4-19_IDAKCO_06985		6999-1-3_MFDHOJ_03435__6999-1-3_MFDHOJ_03440	6999-5-12_GABGCO_03090__6999-5-12_GABGCO_03095	6999-5-5_IEJANN_04035__6999-5-5_IEJANN_04040	6999-7-20_BDNIPI_08280__6999-7-20_BDNIPI_08285	7001-3-2_ILCIHP_01745__7001-3-2_ILCIHP_01750	7553-4-28_BBELPC_00985__7553-4-28_BBELPC_00990		7622-4-37_HCELOA_02840__7622-4-37_HCELOA_02845	7622-4-48_OIGNLO_07735__7622-4-48_OIGNLO_07740	7622-5-52_DJJKEI_04190__7622-5-52_DJJKEI_04195	7622-5-56_HCMIMP_01420__7622-5-56_HCMIMP_01425	7622-5-93_FBDJDO_02045__7622-5-93_FBDJDO_02050
Cluster_1039	Cluster_1039	15	6999-1-3_MFDHOJ_03470__6999-1-3_MFDHOJ_03475	unannotated										6952-4-17_LCDOPK_04545__6952-4-17_LCDOPK_04550	6952-4-19_IDAKCO_03620__6952-4-19_IDAKCO_03625	6999-1-11_GAMHDO_04690__6999-1-11_GAMHDO_04695	6999-1-3_MFDHOJ_03470__6999-1-3_MFDHOJ_03475	6999-5-12_GABGCO_03055__6999-5-12_GABGCO_03060	6999-5-5_IEJANN_04070__6999-5-5_IEJANN_04075	6999-7-20_BDNIPI_05020__6999-7-20_BDNIPI_05025	7001-3-2_ILCIHP_01710__7001-3-2_ILCIHP_01715	7553-4-28_BBELPC_01040__7553-4-28_BBELPC_01045	7622-3-93_BNKJJA_03380__7622-3-93_BNKJJA_03385	7622-4-37_HCELOA_02875__7622-4-37_HCELOA_02880	7622-4-48_OIGNLO_02075__7622-4-48_OIGNLO_02080	7622-5-52_DJJKEI_04155__7622-5-52_DJJKEI_04160	7622-5-56_HCMIMP_01455__7622-5-56_HCMIMP_01460	7622-5-93_FBDJDO_02080__7622-5-93_FBDJDO_02085
afuA.2	Cluster_1040	15	6999-1-3_MFDHOJ_03475	CDS		afuA		ABC-type Fe3+ transport system, periplasmic component		ABC-type Fe3+ transport system, periplasmic component		COG:COG1840,COG:P,RefSeq:WP_000738373.1,SO:0001217,UniParc:UPI000198B8EB,UniRef:UniRef100_A0A0I7APU7,UniRef:UniRef50_D0BNC8,UniRef:UniRef90_B1I7T9	COG:COG1840,COG:P,RefSeq:WP_001865041.1,SO:0001217,UniParc:UPI00032838EA,UniRef:UniRef100_A0A9X8HVE1,UniRef:UniRef50_D0BNC8,UniRef:UniRef90_B1I7T9;COG:COG1840,COG:P,RefSeq:WP_023930326.1,SO:0001217,UniParc:UPI0003D3A949,UniRef:UniRef100_A0A098ZLC4,UniRef:UniRef50_D0BNC8,UniRef:UniRef90_B1I7T9;COG:COG1840,COG:P,SO:0001217,UniRef:UniRef50_D0BNC8,UniRef:UniRef90_B1I7T9;COG:COG1840,COG:P,RefSeq:WP_000738374.1,SO:0001217,UniParc:UPI00016DBBAF,UniRef:UniRef100_B1I7T9,UniRef:UniRef50_D0BNC8,UniRef:UniRef90_B1I7T9	6952-4-17_LCDOPK_04550	6952-4-19_IDAKCO_03625	6999-1-11_GAMHDO_04695	6999-1-3_MFDHOJ_03475	6999-5-12_GABGCO_03055	6999-5-5_IEJANN_04075	6999-7-20_BDNIPI_05020	7001-3-2_ILCIHP_01710	7553-4-28_BBELPC_01045	7622-3-93_BNKJJA_03380	7622-4-37_HCELOA_02880	7622-4-48_OIGNLO_02080	7622-5-52_DJJKEI_04155	7622-5-56_HCMIMP_01460	7622-5-93_FBDJDO_02085
potA.1	Cluster_1041	15	6999-1-3_MFDHOJ_03480	CDS		potA		ABC-type Fe3+/spermidine/putrescine transport systems, ATPase component		ABC-type Fe3+/spermidine/putrescine transport systems, ATPase component		COG:COG3842,COG:E,RefSeq:WP_000589142.1,SO:0001217,UniParc:UPI00000519DA,UniRef:UniRef100_A0A1S9ZHX0,UniRef:UniRef50_A0A1S9ZHX0,UniRef:UniRef90_A0A1S9ZHX0	COG:COG3842,COG:E,RefSeq:WP_050279185.1,SO:0001217,UniParc:UPI0005E64BBB,UniRef:UniRef100_UPI0005E64BBB,UniRef:UniRef50_A0A1S9ZHX0,UniRef:UniRef90_A0A1S9ZHX0;COG:COG3842,COG:E,RefSeq:WP_054386055.1,SO:0001217,UniParc:UPI0005DC4B5F,UniRef:UniRef100_UPI0005DC4B5F,UniRef:UniRef50_A0A1S9ZHX0,UniRef:UniRef90_A0A1S9ZHX0	6952-4-17_LCDOPK_04555	6952-4-19_IDAKCO_03630	6999-1-11_GAMHDO_04700	6999-1-3_MFDHOJ_03480	6999-5-12_GABGCO_03050	6999-5-5_IEJANN_04080	6999-7-20_BDNIPI_05015	7001-3-2_ILCIHP_01705	7553-4-28_BBELPC_01050	7622-3-93_BNKJJA_03375	7622-4-37_HCELOA_02885	7622-4-48_OIGNLO_02085	7622-5-52_DJJKEI_04150	7622-5-56_HCMIMP_01465	7622-5-93_FBDJDO_02090
fbpB.2	Cluster_1042	15	6999-1-3_MFDHOJ_03485	CDS		fbpB		ABC-type Fe3+ transport system, permease component		ABC-type Fe3+ transport system, permease component		COG:COG1178,COG:P,RefSeq:WP_001216185.1,SO:0001217,UniParc:UPI000152E56D,UniRef:UniRef100_A0A3A4S8E2,UniRef:UniRef50_A0A0B7LJG6,UniRef:UniRef90_D0BNC6	COG:COG1178,COG:P,RefSeq:WP_050275656.1,SO:0001217,UniParc:UPI0005DAEB95,UniRef:UniRef100_UPI0005DAEB95,UniRef:UniRef50_A0A0B7LJG6,UniRef:UniRef90_D0BNC6;COG:COG1178,COG:P,RefSeq:WP_054369123.1,SO:0001217,UniParc:UPI0005E82207,UniRef:UniRef100_UPI0005E82207,UniRef:UniRef50_A0A0B7LJG6,UniRef:UniRef90_D0BNC6	6952-4-17_LCDOPK_04560	6952-4-19_IDAKCO_03635	6999-1-11_GAMHDO_04705	6999-1-3_MFDHOJ_03485	6999-5-12_GABGCO_03045	6999-5-5_IEJANN_04085	6999-7-20_BDNIPI_05010	7001-3-2_ILCIHP_01700	7553-4-28_BBELPC_01055	7622-3-93_BNKJJA_03370	7622-4-37_HCELOA_02890	7622-4-48_OIGNLO_02090	7622-5-52_DJJKEI_04145	7622-5-56_HCMIMP_01470	7622-5-93_FBDJDO_02095
Cluster_1043	Cluster_1043	15	6999-1-3_MFDHOJ_03590	CDS	unannotated			SUMF1/EgtB/PvdO family nonheme iron enzyme		SUMF1/EgtB/PvdO family nonheme iron enzyme		RefSeq:WP_000782429.1,SO:0001217,UniParc:UPI000152F041,UniRef:UniRef100_A0A0B7L229,UniRef:UniRef50_A0A376H9J7,UniRef:UniRef90_A0A0B7LDL8	SO:0001217,UniRef:UniRef50_A0A376H9J7,UniRef:UniRef90_A0A0B7LDL8;RefSeq:WP_000782432.1,SO:0001217,UniParc:UPI0002735582,UniRef:UniRef100_A0A4G5CQS6,UniRef:UniRef50_A0A376H9J7,UniRef:UniRef90_A0A0B7LDL8	6952-4-17_LCDOPK_04665	6952-4-19_IDAKCO_03740	6999-1-11_GAMHDO_04805	6999-1-3_MFDHOJ_03590	6999-5-12_GABGCO_02945	6999-5-5_IEJANN_04190	6999-7-20_BDNIPI_04895__6999-7-20_BDNIPI_04900,6999-7-20_BDNIPI_04900	7001-3-2_ILCIHP_01600	7553-4-28_BBELPC_01170	7622-3-93_BNKJJA_03270	7622-4-37_HCELOA_02990	7622-4-48_OIGNLO_02190	7622-5-52_DJJKEI_04040	7622-5-56_HCMIMP_01570	7622-5-93_FBDJDO_02195
Cluster_1044	Cluster_1044	15	6999-1-3_MFDHOJ_03595	CDS				putative membrane transporter protein		putative membrane transporter protein		RefSeq:WP_000229331.1,SO:0001217,UniParc:UPI00016DB813,UniRef:UniRef100_B1I7R5,UniRef:UniRef50_B1I7R5,UniRef:UniRef90_B1I7R5	RefSeq:WP_000229332.1,SO:0001217,UniParc:UPI000153DB04,UniRef:UniRef100_A0A0B7M657,UniRef:UniRef50_B1I7R5,UniRef:UniRef90_B1I7R5;RefSeq:WP_000229339.1,SO:0001217,UniParc:UPI000152C3D1,UniRef:UniRef100_A0A0B7LJU4,UniRef:UniRef50_B1I7R5,UniRef:UniRef90_B1I7R5	6952-4-17_LCDOPK_04670	6952-4-19_IDAKCO_03745	6999-1-11_GAMHDO_04810	6999-1-3_MFDHOJ_03595	6999-5-12_GABGCO_02940	6999-5-5_IEJANN_04195	6999-7-20_BDNIPI_04895	7001-3-2_ILCIHP_01595	7553-4-28_BBELPC_01175	7622-3-93_BNKJJA_03265	7622-4-37_HCELOA_02995	7622-4-48_OIGNLO_02195	7622-5-52_DJJKEI_04035	7622-5-56_HCMIMP_01575	7622-5-93_FBDJDO_02200
Cluster_1045	Cluster_1045	15	6999-1-3_MFDHOJ_03600__6999-1-3_MFDHOJ_03605	unannotated										6952-4-17_LCDOPK_04675__6952-4-17_LCDOPK_04680	6952-4-19_IDAKCO_03750__6952-4-19_IDAKCO_03755	6999-1-11_GAMHDO_04815__6999-1-11_GAMHDO_04820	6999-1-3_MFDHOJ_03600__6999-1-3_MFDHOJ_03605	6999-5-12_GABGCO_02930__6999-5-12_GABGCO_02935	6999-5-5_IEJANN_04200__6999-5-5_IEJANN_04205	6999-7-20_BDNIPI_04885__6999-7-20_BDNIPI_04890	7001-3-2_ILCIHP_01585__7001-3-2_ILCIHP_01590	7553-4-28_BBELPC_01180__7553-4-28_BBELPC_01185	7622-3-93_BNKJJA_03255__7622-3-93_BNKJJA_03260	7622-4-37_HCELOA_03000__7622-4-37_HCELOA_03005	7622-4-48_OIGNLO_02205__7622-4-48_OIGNLO_02210	7622-5-52_DJJKEI_04025__7622-5-52_DJJKEI_04030	7622-5-56_HCMIMP_01580__7622-5-56_HCMIMP_01585	7622-5-93_FBDJDO_02205__7622-5-93_FBDJDO_02210
Cluster_1046	Cluster_1046	15	6999-1-3_MFDHOJ_03680	CDS				DUF3013 domain-containing protein		DUF3013 domain-containing protein		RefSeq:WP_023396411.1,SO:0001217,UniParc:UPI0003C0F935,UniRef:UniRef100_UPI0003C0F935,UniRef:UniRef50_A0A0E2UDC7,UniRef:UniRef90_A0A0H2ZMD0	RefSeq:WP_000257097.1,SO:0001217,UniParc:UPI000152EF99,UniRef:UniRef100_A0A0B7KWX0,UniRef:UniRef50_A0A0E2UDC7,UniRef:UniRef90_A0A0H2ZMD0;RefSeq:WP_000257085.1,SO:0001217,UniParc:UPI00020A91D8,UniRef:UniRef100_A0A0T8MUJ6,UniRef:UniRef50_A0A0E2UDC7,UniRef:UniRef90_A0A0H2ZMD0;RefSeq:WP_054387465.1,SO:0001217,UniParc:UPI0005E171B0,UniRef:UniRef100_UPI0005E171B0,UniRef:UniRef50_A0A0E2UDC7,UniRef:UniRef90_A0A0H2ZMD0;SO:0001217,UniRef:UniRef50_A0A139PJB9,UniRef:UniRef90_A0A139PJB9;RefSeq:WP_000257084.1,SO:0001217,UniParc:UPI00016C32E8,UniRef:UniRef100_A0A0E8P8F3,UniRef:UniRef50_A0A0E2UDC7,UniRef:UniRef90_A0A0H2ZMD0	6952-4-17_LCDOPK_04755	6952-4-19_IDAKCO_03830	6999-1-11_GAMHDO_04895	6999-1-3_MFDHOJ_03680	6999-5-12_GABGCO_09735	6999-5-5_IEJANN_04280	6999-7-20_BDNIPI_04815	7001-3-2_ILCIHP_01510	7553-4-28_BBELPC_01250	7622-3-93_BNKJJA_03135	7622-4-37_HCELOA_03120	7622-4-48_OIGNLO_02285	7622-5-52_DJJKEI_03950	7622-5-56_HCMIMP_01695	7622-5-93_FBDJDO_02320
Cluster_1047	Cluster_1047	9	6999-1-3_MFDHOJ_03680__6999-1-3_MFDHOJ_03685	unannotated										6952-4-17_LCDOPK_04755__6952-4-17_LCDOPK_04760	6952-4-19_IDAKCO_03830__6952-4-19_IDAKCO_03835	6999-1-11_GAMHDO_04895__6999-1-11_GAMHDO_04900	6999-1-3_MFDHOJ_03680__6999-1-3_MFDHOJ_03685	6999-5-12_GABGCO_09735__6999-5-12_GABGCO_09740	6999-5-5_IEJANN_04280__6999-5-5_IEJANN_04285		7001-3-2_ILCIHP_01505__7001-3-2_ILCIHP_01510				7622-4-48_OIGNLO_02285__7622-4-48_OIGNLO_02290	7622-5-52_DJJKEI_03945__7622-5-52_DJJKEI_03950		
Cluster_1048	Cluster_1048	9	6999-1-3_MFDHOJ_03685	CDS				DUF1642 domain-containing protein		DUF1642 domain-containing protein		RefSeq:WP_000891117.1,SO:0001217,UniParc:UPI000254D0D7,UniRef:UniRef100_A0A5Q5FNU1,UniRef:UniRef50_E7S805,UniRef:UniRef90_A0A5Q5FNU1	RefSeq:WP_044791099.1,SO:0001217,UniParc:UPI000598DF9B,UniRef:UniRef100_A0A9P1QCG9,UniRef:UniRef50_E7S805,UniRef:UniRef90_A0A5Q5FNU1	6952-4-17_LCDOPK_04760	6952-4-19_IDAKCO_03835	6999-1-11_GAMHDO_04900	6999-1-3_MFDHOJ_03685	6999-5-12_GABGCO_09740	6999-5-5_IEJANN_04285		7001-3-2_ILCIHP_01505				7622-4-48_OIGNLO_02290	7622-5-52_DJJKEI_03945		
Cluster_1049	Cluster_1049	9	6999-1-3_MFDHOJ_03685__6999-1-3_MFDHOJ_03690	unannotated										6952-4-17_LCDOPK_04760__6952-4-17_LCDOPK_04765	6952-4-19_IDAKCO_03835__6952-4-19_IDAKCO_03840	6999-1-11_GAMHDO_04900__6999-1-11_GAMHDO_04905	6999-1-3_MFDHOJ_03685__6999-1-3_MFDHOJ_03690	6999-5-12_GABGCO_09740__6999-5-12_GABGCO_09745	6999-5-5_IEJANN_04285__6999-5-5_IEJANN_04290		7001-3-2_ILCIHP_01500__7001-3-2_ILCIHP_01505				7622-4-48_OIGNLO_02290__7622-4-48_OIGNLO_02295	7622-5-52_DJJKEI_03940__7622-5-52_DJJKEI_03945		
Cluster_1050	Cluster_1050	13	6999-1-3_MFDHOJ_03690	CDS				MutT/nudix family protein%3B 7,8-dihydro-8-oxoguanine-triphosphatase	Nudix hydrolase domain-containing protein;MutT/nudix family protein, truncated	MutT/nudix family protein%3B 7,8-dihydro-8-oxoguanine-triphosphatase	Nudix hydrolase domain-containing protein;MutT/nudix family protein, truncated	RefSeq:WP_000421871.1,SO:0001217,UniParc:UPI000254D0D6,UniRef:UniRef100_A0A0B7LI68,UniRef:UniRef50_A8AZ85,UniRef:UniRef90_A0A0B7LI68	RefSeq:WP_050072375.1,SO:0001217,UniParc:UPI0005E15F6B,UniRef:UniRef100_A0A9P1Q0H0,UniRef:UniRef50_A8AZ85,UniRef:UniRef90_A0A0B7LI68;RefSeq:WP_000418168.1,SO:0001217,UniParc:UPI000152EF97,UniRef:UniRef100_A0A2N9ZXJ8,UniRef:UniRef50_A8AZ85,UniRef:UniRef90_A0A3R9IKA9;SO:0001217,UniRef:UniRef50_A8AZ85,UniRef:UniRef90_A0A0B7LI68;SO:0001217,UniRef:UniRef50_A0A2X3U5K9	6952-4-17_LCDOPK_04765	6952-4-19_IDAKCO_03840	6999-1-11_GAMHDO_04905	6999-1-3_MFDHOJ_03690		6999-5-5_IEJANN_04290		7001-3-2_ILCIHP_01500	7553-4-28_BBELPC_01260	7622-3-93_BNKJJA_03125	7622-4-37_HCELOA_03130	7622-4-48_OIGNLO_02295,7622-4-48_OIGNLO_02300	7622-5-52_DJJKEI_03940	7622-5-56_HCMIMP_01710	7622-5-93_FBDJDO_02335
Cluster_1051	Cluster_1051	2	6999-1-3_MFDHOJ_03735__6999-1-3_MFDHOJ_03740	unannotated													6999-1-3_MFDHOJ_03735__6999-1-3_MFDHOJ_03740			6999-7-20_BDNIPI_01050__END								
Cluster_1052	Cluster_1052	1	6999-1-3_MFDHOJ_03765	CDS				hypothetical protein		hypothetical protein							6999-1-3_MFDHOJ_03765											
Cluster_1053	Cluster_1053	15	6999-1-3_MFDHOJ_03770	CDS				ABC_tran domain protein	Multidrug resistance protein 1	ABC_tran domain protein	Multidrug resistance protein 1	SO:0001217,UniParc:UPI000152D22C,UniRef:UniRef100_A0A0B7L6P0,UniRef:UniRef50_A0A0B7L6P0,UniRef:UniRef90_A0A0B7L6P0	RefSeq:WP_078133805.1,SO:0001217,UniParc:UPI0003227D34,UniRef:UniRef100_A0A0T8N9Z6,UniRef:UniRef50_A0A0U0AKR1,UniRef:UniRef90_A0A0T8N9Z6	6952-4-17_LCDOPK_00765	6952-4-19_IDAKCO_10520	6999-1-11_GAMHDO_04385	6999-1-3_MFDHOJ_03770	6999-5-12_GABGCO_08950	6999-5-5_IEJANN_03795	6999-7-20_BDNIPI_10750	7001-3-2_ILCIHP_10680	7553-4-28_BBELPC_10550	7622-3-93_BNKJJA_02200	7622-4-37_HCELOA_05150	7622-4-48_OIGNLO_00160	7622-5-52_DJJKEI_05660	7622-5-56_HCMIMP_07490	7622-5-93_FBDJDO_06535
ydhJ	Cluster_1054	15	6999-1-3_MFDHOJ_03860	CDS		ydhJ		HD superfamily phosphohydrolase		HD superfamily phosphohydrolase		COG:COG1078,COG:R,RefSeq:WP_001003501.1,SO:0001217,UniParc:UPI0002735941,UniRef:UniRef100_A0A9P1RL93,UniRef:UniRef50_H5SYR4,UniRef:UniRef90_D3H9F5	COG:COG1078,COG:R,RefSeq:WP_001003504.1,SO:0001217,UniParc:UPI00016DB78E,UniRef:UniRef100_B1ICA4,UniRef:UniRef50_H5SYR4,UniRef:UniRef90_D3H9F5;COG:COG1078,COG:R,RefSeq:WP_001003477.1,SO:0001217,UniParc:UPI000254D1FC,UniRef:UniRef100_A0A237JZC1,UniRef:UniRef50_H5SYR4,UniRef:UniRef90_D3H9F5	6952-4-17_LCDOPK_00850	6952-4-19_IDAKCO_01960	6999-1-11_GAMHDO_04300	6999-1-3_MFDHOJ_03860	6999-5-12_GABGCO_02435	6999-5-5_IEJANN_04435	6999-7-20_BDNIPI_04070	7001-3-2_ILCIHP_04070	7553-4-28_BBELPC_02490	7622-3-93_BNKJJA_03600	7622-4-37_HCELOA_05765	7622-4-48_OIGNLO_00245	7622-5-52_DJJKEI_05575	7622-5-56_HCMIMP_02495	7622-5-93_FBDJDO_02580
